Start Date,End Date,Joy Count,Joy Words,Sadness Count,Sadness Words,Anger Count,Anger Words,Fear Count,Fear Words,Trust Count,Trust Words,Disgust Count,Disgust Words,Surprise Count,Surprise Words,Anticipation Count,Anticipation Words,Sentiment Score,Sentiment Label
saturday march 27 1943,thursday april 1 1943,4,"good, appreciation, fancy, labor",4,"sabotage, neglected, ill, sick",3,"sabotage, neglected, ill",4,"sabotage, fire, police, ill",8,"county, exchange, good, appreciation, top, important, labor, police",5,"ill, sabotage, nose, sick, neglected",4,"good, mouth, sabotage, labor",5,"fancy, good, time, top, labor",1,Positive
thursday april 1 1943,friday april 2 1943,2,"merry, sunshine",8,"hospital, bothering, forgotten, surgery, ulcer, fell, lie, agony",6,"bothering, bout, ulcer, fear, lie, agony",8,"flu, hospital, forgotten, surgery, ulcer, shaking, fear, agony",5,"hospital, father, important, word, continue",3,"ulcer, lie, stomach",1,quote,4,"time, quote, continue, thought",-14,Highly Negative
friday april 2 1943,tuesday april 27 1943,4,"mother, pray, feeling, love",10,"coldness, unkind, shrink, sorrow, feeling, cruel, apologize, cross, reject, pain",10,"angry, lying, coldness, cruelly, feeling, cruel, words, cross, reject, unkind",11,"coldness, unkind, cruelly, sorrow, pray, feeling, shrink, cruel, cross, reject, pain",8,"dare, feeling, pray, truth, mother, father, apologize, continue",6,"angry, lying, coldness, feeling, cruel, unkind",3,"suddenly, feeling, pray",7,"dare, happen, feeling, pray, mother, time, continue",-18,Highly Negative
tuesday april 27 1943,saturday may 1 1943,3,"mother, good, food",8,"terrible, complain, bitterly, bleeding, beating, destroyed, terrific, mad",7,"terrible, complain, invasion, bitterly, beating, destroyed, mad",7,"terrible, fire, bleeding, beating, destroyed, trembling, mad",6,"county, mother, good, top, father, food",5,"terrible, bitterly, bleeding, stomach, mad",1,good,6,"neighborhood, daily, mother, good, top, long",-12,Highly Negative
saturday may 1 1943,sunday may 2 1943,8,"save, shopping, darling, found, chocolate, silly, excited, respect",4,"sick, badly, case, stingy",4,"disgraceful, destruction, martial, stingy",3,"case, flee, stingy",8,"save, law, shopping, darling, found, chocolate, excited, respect",5,"disgraceful, stingy, sticky, stomach, sick",2,"excited, shopping",5,"shopping, time, chocolate, excited, respect",5,Positive
sunday may 2 1943,sunday may 2 1943,4,"clean, hope, mother, respect",4,"worn, sunk, ill, frayed",2,"possession, ill",5,"ill, possession, hiding, war, sunk",8,"cover, hope, wear, spotless, mother, father, clean, respect",4,"sunk, stomach, ill, possession",1,hope,4,"mother, hope, long, respect",1,Positive
sunday may 2 1943,tuesday may 18 1943,7,"hope, money, mother, good, beautiful, clean, respect",7,"worn, ill, doubt, sorrow, sunk, frayed, pain",8,"tension, politics, ill, money, ridiculous, contradict, possession, fear",12,"ill, hide, forced, doubt, sorrow, possession, fear, afraid, hiding, war, sunk, pain",21,"gentleman, general, law, money, good, word, account, frank, clean, respect, hope, wear, assure, father, cover, spotless, doubt, count, mother, optimist, majesty",5,"ill, ridiculous, possession, stomach, sunk",4,"good, hope, money, surprising",9,"hope, money, immediately, expectation, mother, good, time, long, respect",5,Positive
tuesday may 18 1943,sunday june 13 1943,11,"comfort, laughter, glow, spouse, mother, child, labor, jump, welcomed, youth, approve",6,"penalty, sympathize, trash, injured, unable, death",7,"shooting, penalty, hot, words, death, youth, carelessness",7,"shooting, penalty, injured, obey, death, police, youth",14,"comfort, allied, statement, pilot, spouse, official, obey, mother, conscience, labor, glow, police, approve, crew",4,"death, garbage, trash, carelessness",5,"laughter, death, suddenly, labor, youth",10,"comfort, seek, laughter, thought, mother, child, death, labor, glow, youth",11,Highly Positive
sunday june 13 1943,tuesday june 15 1943,7,"lovely, favorite, treat, food, proud, peace, birthday",6,"dispel, lovely, plight, boredom, treat, wasting",2,"treat, bear",5,"plight, bear, difficult, treat, wasting",10,"food, wear, pill, usual, lovely, favorite, treat, father, proud, peace",3,"treat, plight, wasting",3,"treat, birthday, lovely",7,"lovely, plight, time, treat, proud, peace, birthday",8,Positive
tuesday june 15 1943,sunday july 11 1943,7,"grow, baby, money, spirits, good, beautiful, cheer",11,"dreary, cancer, ill, hospital, worse, ulcer, death, hate, pointless, lose, error",7,"cancer, ill, money, ulcer, hate, death, lose",10,"cancer, ill, hospital, worse, ulcer, death, hate, hiding, lose, operation",7,"cabinet, grow, hospital, money, good, cheer, operation",6,"cancer, ill, ulcer, hate, death, lose",6,"money, spirits, good, death, cheer, lose",8,"approaching, grow, money, spirits, good, death, store, cheer",-12,Highly Negative
